current_timestep,arrival_rate,replicas_1,replicas_2,replicas_3,cpu_util_1,cpu_util_2,cpu_util_3,latency_violation,latency,latency_violation_percentage
0,67.13123472095097,1,2,1,1.0,1.0,1.0,0,0.052484197905048165,0.0
1,66.99109035928214,1,2,1,16.0,18.0,10.0,0,0.049344632339876765,0.0
2,66.85094599761328,1,3,1,78.0,25.0,57.0,0,0.07456395178918639,0.0
3,66.71080163594443,1,3,1,75.0,27.0,57.0,0,0.04775081516618086,0.0
4,66.57065727427559,1,1,1,73.0,32.0,59.0,0,0.0544092707609007,0.0
5,64.906442979458,1,2,1,77.0,36.0,57.0,0,0.04982160015516158,0.0
6,63.24222868464043,1,1,1,74.0,43.0,57.0,0,0.048964688063058474,0.0
7,61.578014389822854,1,1,1,73.0,44.0,56.0,0,0.06091541906150656,0.0
8,59.91380009500527,1,1,1,69.0,86.0,54.0,0,0.055159361599481586,0.0
9,58.249585800187695,1,1,1,70.0,87.0,53.0,0,0.05489701846016013,0.0
10,57.084635793815394,1,1,1,69.0,49.0,51.0,0,0.05375373794371823,0.0
11,55.919685787443086,1,1,1,66.0,81.0,49.0,0,0.05063103296648919,0.0
12,54.75473578107078,1,1,1,64.0,80.0,49.0,0,0.04923172996594921,0.0
13,53.58978577469847,1,1,1,64.0,74.0,44.0,0,0.04939157045328485,0.0
14,52.42483576832617,1,1,1,65.0,76.0,44.0,0,0.0529193633439525,0.0
15,50.50660981798381,1,1,1,59.0,75.0,46.0,0,0.04834671274249769,0.0
16,48.58838386764144,1,1,1,58.0,70.0,43.0,0,0.046811179337219413,0.0
17,46.67015791729907,1,1,1,56.0,69.0,43.0,0,0.04812661961636979,0.0
18,44.751931966956704,1,1,1,44.0,64.0,41.0,0,0.04920353676957764,0.0
19,42.833706016614336,1,1,1,54.0,63.0,39.0,0,0.048931107133161664,0.0
20,41.8789725527453,1,1,1,53.0,62.0,30.0,0,0.04859101902427643,0.0
21,40.92423908887628,1,1,1,51.0,60.0,35.0,0,0.0489063877555153,0.0
22,39.969505625007244,1,1,1,50.0,57.0,34.0,0,0.04956484766839778,0.0
23,39.01477216113822,1,1,1,49.0,57.0,36.0,0,0.04934521763827496,0.0
24,38.060038697269185,1,1,1,50.0,55.0,35.0,0,0.04895033068392253,0.0
25,40.76657668199882,1,1,1,49.0,60.0,29.0,0,0.04427604320552523,0.0
26,43.473114666728456,1,1,1,54.0,54.0,39.0,0,0.047106804001715866,0.0
27,46.179652651458106,1,1,1,56.0,67.0,42.0,0,0.04444501425958628,0.0
28,48.886190636187735,1,1,1,60.0,71.0,43.0,0,0.05159358595982567,0.0
29,51.59272862091738,1,1,1,61.0,77.0,46.0,0,0.04735101323768466,0.0
30,50.725585383091385,1,1,1,60.0,71.0,45.0,0,0.046450946784297655,0.0
